"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"TGFBI",1135,1116,1.83564599390721e-05,2.43806133576837e-05,1163,0.407513843105298,0.00063,0.00140404988740689
"TNS3",306,302,4.94896629194366e-06,6.59762117743769e-06,539,0.407660732761943,0.00205,0.00418855010322376
"DBNL",2590,2545,4.18883094644905e-05,5.55991585979435e-05,4320,0.407667830625821,0,0
"SPI1",1755,1725,2.83837772626181e-05,3.76850878512583e-05,2026,0.407676500853912,0,0
"C16orf87",865,851,1.39897249755924e-05,1.85913100066208e-05,1565,0.407724234693209,0,0
"UBA5",922,907,1.49115912456603e-05,1.98147099600529e-05,1649,0.407757555920178,0,0
"SLC25A1",700,689,1.13211647201326e-05,1.50521887127635e-05,1310,0.407816421110787,0,0
"HAUS8",196,194,3.16992612163712e-06,4.23820698153282e-06,373,0.40784084664514,0.00617,0.0115972563915267
"KHDC1",84,84,1.35853976641591e-06,1.83509993014823e-06,166,0.407883349060062,0.055,0.0836639867580988
"TSPAN18",85,85,1.37471285887324e-06,1.85694635788809e-06,148,0.408170135728196,0.09909,0.141450342838123
"TJP2",199,197,3.21844539900911e-06,4.3037462647524e-06,358,0.408223809399732,0.00833,0.0152495418326693
"SCARB1",86,86,1.39088595133057e-06,1.87879278562795e-06,169,0.408450645131221,0.05347,0.0815583900414938
"GCAT",86,86,1.39088595133057e-06,1.87879278562795e-06,170,0.408450645131221,0.05062,0.0776531441516633
"IGHV3-7",951,936,1.5380610926923e-05,2.04482563645089e-05,635,0.408553571154857,0.0808,0.118093013745314
"ADCK5",202,200,3.26696467638111e-06,4.36928554797198e-06,398,0.408595637588859,0.00383,0.00748545951693757
"DNAJC5",318,314,5.14304340143165e-06,6.85977831031601e-06,615,0.408636864267905,0.00042,0.00096185831256675
"PSEN2",203,201,3.28313776883844e-06,4.39113197571184e-06,386,0.408717189499403,0.00494,0.00945663442940039
"POLR2D",499,492,8.07037313620878e-06,1.07484424480111e-05,955,0.409014052309083,1e-05,2.79210069444444e-05
"OGDH",558,550,9.02458559119138e-06,1.20155352569229e-05,1060,0.409027200585666,0,0
"TP53I13",860,847,1.39088595133057e-05,1.85039242956613e-05,1585,0.409267466149377,0,0
"C1orf43",3188,3136,5.15598187539751e-05,6.85103973922007e-05,5206,0.409384640763356,0,0
"HGS",629,620,1.0172875155662e-05,1.35447851987131e-05,1199,0.409509666025722,0,0
"ZCCHC18",90,90,1.4555783211599e-06,1.96617849658739e-06,171,0.409513859263406,0.0571,0.0865412416067852
"ZNF446",90,90,1.4555783211599e-06,1.96617849658739e-06,179,0.409513859263406,0.04587,0.0710441097869267
"WDR83OS",5612,5521,9.07633948705485e-05,0.000120614127551767,8317,0.409823415084459,0,0
"NCF1",5232,5148,8.46176197367622e-05,0.000112465410004799,7636,0.410029612279666,0,0
"COPS4",902,889,1.45881293965137e-05,1.94214742607355e-05,1708,0.41041133578705,0,0
"RANGAP1",343,339,5.54737071286495e-06,7.40593900381251e-06,663,0.410453228470745,0.00028,0.000658829553767374
"THOP1",289,286,4.67402372016901e-06,6.24807833359993e-06,544,0.411114196158005,0.00084,0.001838
"TMEM9",482,476,7.79543056443413e-06,1.03988996041733e-05,906,0.411148277735937,1e-05,2.79210069444444e-05
"SEPW1",4602,4532,7.44285714886429e-05,9.90080105170451e-05,6370,0.411208062224652,0,0
"TTF2",487,481,7.87629602672079e-06,1.05081317428726e-05,920,0.411379738544114,2e-05,5.43557245458386e-05
"GPR146",98,98,1.58496306081856e-06,2.14094991850627e-06,171,0.411393443603958,0.06407,0.0959297823810078
"F3",294,291,4.75488918245567e-06,6.35731047229923e-06,297,0.411495029495799,0.10354,0.147198413259669
"JMJD4",294,291,4.75488918245567e-06,6.35731047229923e-06,563,0.411495029495799,0.00069,0.00152823893957652
"SHC1",491,485,7.94098839655012e-06,1.05955174538321e-05,837,0.41156152923281,0.00015,0.000367180365296804
"PPP2CA",2980,2936,4.819581552285e-05,6.41411118442287e-05,5081,0.411598666754715,0,0
"SNX24",99,99,1.60113615327589e-06,2.16279634624613e-06,195,0.411608132434118,0.03998,0.0628522336265885
"LPCAT1",429,424,6.93825666419553e-06,9.2628853617006e-06,815,0.4117350680369,7e-05,0.000179872178949471
"OAZ1",37823,37262,0.000611714876013677,0.00081404159044266,25073,0.412184535034489,0,0
"TXNDC9",1044,1030,1.68847085254548e-05,2.25018205720557e-05,1938,0.412202525770317,0,0
"LRCH4",1384,1365,2.23835599609478e-05,2.98203738649088e-05,2553,0.412257717823346,0,0
"JTB",6944,6843,0.000112305954023715,0.000149495105023861,9336,0.412344513249773,0,0
"LPCAT4",374,370,6.04873657904225e-06,8.08317826374816e-06,705,0.41237127922816,1e-04,0.000251534701857283
"CTU2",176,175,2.84646427249047e-06,3.82312485447548e-06,346,0.413018477472991,0.00619,0.0116314502701913
"MORF4L2",2763,2725,4.46862544596089e-05,5.95315155911182e-05,4424,0.413018988152467,0,0
"PRDX3",2240,2210,3.62277271044242e-05,4.82806053050904e-05,3584,0.413357715122431,0,0
"TAZ",606,599,9.80089402914333e-06,1.30860102161761e-05,1179,0.413377395831754,0,0
"APOA1BP",1679,1657,2.71546222358608e-05,3.61995307649479e-05,2854,0.413449975099235,0,0
"NFATC1",682,674,1.10300490559006e-05,1.47244922966656e-05,1254,0.413522745370163,0,0
"TEK",110,110,1.77904017030655e-06,2.40310705138459e-06,155,0.413724083499035,0.11012,0.155266183013699
"P2RX4",692,684,1.11917799804739e-05,1.49429565740642e-05,1291,0.413815221812415,0,0
"ALKBH6",332,329,5.3694666958343e-06,7.18747472641391e-06,644,0.414018806042822,0.00025,0.000591703458425313
"FERMT3",1372,1355,2.21894828514598e-05,2.96019095875102e-05,2414,0.414192543030279,0,0
"LINC01353",187,186,3.02436828952113e-06,4.06343555961394e-06,331,0.414209971229934,0.01252,0.0220872507884273
